team,targeted_productivity,smv,wip,over_time,incentive,idle_time,idle_men,no_of_style_change,no_of_workers,month,quarter_Quarter1,quarter_Quarter2,quarter_Quarter3,quarter_Quarter4,quarter_Quarter5,department_finishing,department_finishing ,department_sweing,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,actual_productivity
9,0.75,3.94,,960,0,0,0,0,8,2,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0.755166667
7,0.65,30.1,909,7080,0,0,0,1,59,2,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0.5356779660000001
3,0.8,4.15,,1440,0,0,0,0,7,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0.8208333329999999
1,0.65,22.53,762,5040,0,0,0,1,42,2,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0.581130952
4,0.7,30.1,767,3300,50,0,0,1,57,2,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0.7900032359999999
3,0.75,4.15,,1920,0,0,0,0,8,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0.875390625
3,0.8,19.87,924,9900,50,0,0,0,55,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0.8002738290000001
6,0.7,2.9,,960,0,0,0,0,8,2,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0.9425
9,0.8,22.52,1086,6960,50,0,0,0,58,2,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0.7999632179999999
12,0.8,15.26,900,4080,50,0,0,0,34,2,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0.8004019609999999
3,0.8,4.6,,6300,0,0,0,0,15,2,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0.921703704
8,0.75,29.4,534,6840,56,0,0,0,57,3,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0.750473684
7,0.35,22.94,1450,10080,30,0,0,0,56,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0.40033279200000005
12,0.8,15.26,854,4080,50,0,0,0,34,2,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0.8004019609999999
9,0.8,29.12,1069,6960,50,0,0,0,58,2,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0.7999632179999999
8,0.8,2.9,,4800,0,0,0,0,8,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0.39774305600000004
12,0.8,15.26,1021,4080,63,0,0,0,34,2,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0.8004019609999999
8,0.8,2.9,,1440,0,0,0,0,8,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0.681060606
4,0.7,30.1,667,5940,40,0,0,1,59.5,2,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0.7005884059999999
2,0.65,16.1,626,4200,0,0,0,1,45,3,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0.65024031
